CIN,COMPANY_NAME,STATE,STATUS,sector,directors,source,source_url
U12345MH2025PTC000001,Sunrise Agrotech Pvt Ltd,Maharashtra,Active,Agriculture,Anil Deshmukh; Priya Patil,ZaubaCorp,https://www.zaubacorp.com/company/U12345MH2025PTC000001
U12346KA2025PTC000002,TechNova Analytics Pvt Ltd,Karnataka,Active,IT Services,Rahul Shetty; Kavya Rao,ZaubaCorp,https://www.zaubacorp.com/company/U12346KA2025PTC000002
U12347TG2025PTC000003,HydroGreen Energy Solutions Pvt Ltd,Telangana,Active,Renewable Energy,Arun Kumar; Neha Reddy,ZaubaCorp,https://www.zaubacorp.com/company/U12347TG2025PTC000003
U12348DL2025PTC000004,UrbanNest Realty Pvt Ltd,Delhi,Active,Real Estate,Sachin Mehra; Nisha Agarwal,ZaubaCorp,https://www.zaubacorp.com/company/U12348DL2025PTC000004
U12349TN2025PTC000005,OceanWave Shipping Pvt Ltd,Tamil Nadu,Active,Logistics,Karthik Subramanian; Deepa Iyer,ZaubaCorp,https://www.zaubacorp.com/company/U12349TN2025PTC000005
U12350MH2025PTC000006,Quantum Finance Pvt Ltd,Maharashtra,Strike Off,Financial Services,Vikas Joshi; Shruti Bansal,ZaubaCorp,https://www.zaubacorp.com/company/U12350MH2025PTC000006
U12351KA2025PTC000007,AeroDrive Mobility Pvt Ltd,Karnataka,Active,Automotive,Suresh R; Pooja Gowda,ZaubaCorp,https://www.zaubacorp.com/company/U12351KA2025PTC000007
U12352TG2025PTC000008,DataCraft Labs Pvt Ltd,Telangana,Active,Artificial Intelligence,Krishna Reddy; Meena G,ZaubaCorp,https://www.zaubacorp.com/company/U12352TG2025PTC000008
U12353DL2025PTC000009,MetroCare Diagnostics Pvt Ltd,Delhi,Active,Healthcare,Sandeep Kumar; Reena Gupta,ZaubaCorp,https://www.zaubacorp.com/company/U12353DL2025PTC000009
U12354TN2025PTC000010,SpiceRoot Foods Pvt Ltd,Tamil Nadu,Active,Food Processing,Ravi Chandran; Divya Mohan,ZaubaCorp,https://www.zaubacorp.com/company/U12354TN2025PTC000010
U12355MH2025PTC000011,NextGen Robotics Pvt Ltd,Maharashtra,Active,Robotics,Amit Kulkarni; Sneha Joshi,ZaubaCorp,https://www.zaubacorp.com/company/U12355MH2025PTC000011
U12356KA2025PTC000012,SmartInfra Tech Pvt Ltd,Karnataka,Active,Infrastructure,Naveen Rao; Priyanka D,ZaubaCorp,https://www.zaubacorp.com/company/U12356KA2025PTC000012
U12357TG2025PTC000013,MedAI Health Pvt Ltd,Telangana,Amalgamated,AI Healthcare,Srikanth Reddy; Lavanya M,ZaubaCorp,https://www.zaubacorp.com/company/U12357TG2025PTC000013
U12358DL2025PTC000014,CyberVault Security Pvt Ltd,Delhi,Active,Cybersecurity,Anuj Verma; Kritika Jain,ZaubaCorp,https://www.zaubacorp.com/company/U12358DL2025PTC000014
U12359TN2025PTC000015,GreenHarvest Organics Pvt Ltd,Tamil Nadu,Active,Agriculture,Venkat Iyer; Shilpa N,ZaubaCorp,https://www.zaubacorp.com/company/U12359TN2025PTC000015

